Cell_name	Zvalue	Color	Cluster	ERAP2	IRF1
MGH36_P4_F03	NA	black	0	0	1.4383
MGH36_P4_F04	12.1559704747	black	0	4.7754	4.7154
MGH36_P4_F05	NA	black	0	0	1.4552
MGH36_P4_F06	0.0529596921845	green3	2	3.3574	1.4589
MGH36_P4_F07	-0.218336995585	green3	2	0.13356	1.7519
MGH36_P4_F09	-2.36292427356	black	0	4.312	0.78994
MGH36_P4_F10	0.112971539026	green3	2	0.15056	1.121
MGH36_P4_F11	NA	black	0	0	0.86394
MGH36_P4_F12	-0.193494364753	green3	2	1.5099	1.1467
MGH36_P4_G01	-0.387093622975	green3	2	0.18142	2.1084
MGH36_P4_G02	-1.44591439152	black	0	4.1089	1.0208
MGH36_P4_G03	NA	black	0	0	1.3879
