Cell_name	Zvalue	Color	Cluster	PARP1	SH3BP2
93_P10_D04	2.41492382974	black	0	4.4919	2.7655
93_P9_C11	0.0101713071584	red	1	3.893	0.44996
93_P9_A01	NA	black	0	1.5583	0
93_P9_B05	-0.0878530132741	red	1	1.2904	0.50284
93_P9_A06	NA	black	0	3.6385	0
93_P10_A10	NA	black	0	0	0
93_P10_F07	NA	black	0	0	0
93_P9_B04	-0.212344417394	red	1	4.0875	0.07861
93_P10_H04	-0.382256009425	red	1	5.1139	0.15316
93_P10_B11	NA	black	0	0	0.1137
93_P9_D01	0.0891701593951	red	1	2.9126	0.16993
93_P8_A11	NA	black	0	5.4136	0
93_P9_F11	0.389159010637	red	1	1.546	0.17632
93_P8_G09	NA	black	0	2.3329	0
93_P10_G01	NA	black	0	0	0.085425
93_P8_D07	NA	black	0	5.3885	0
93_P8_G01	NA	black	0	0	0
93_P9_H04	NA	black	0	2.8508	0
93_P10_B10	NA	black	0	0	0.40599
93_P9_G04	NA	black	0	0	0.14143
93_P8_D01	NA	black	0	4.6474	0
93_P8_F03	NA	black	0	4.4106	0
93_P10_D03	NA	black	0	0	0
93_P10_H06	NA	black	0	0	0.16864
93_P8_B12	-0.227467309149	red	1	4.3826	0.15704
93_P8_D09	0.0650507168434	red	1	2.4972	0.34142
93_P9_D11	NA	black	0	0	0.094912
93_P10_G08	0.65996186923	green3	2	1.1237	0.079975
93_P8_H06	NA	black	0	2.7723	0
93_P9_C07	-0.527541462818	red	1	5.3554	0.09356
93_P8_A12	-0.567557345362	red	1	5.2159	0.044044
93_P8_C01	NA	black	0	0	0
93_P9_F06	-0.423951182226	red	1	4.962	0.097611
