Cell_name	Zvalue	Color	Cluster	CTNNB1	NELFCD
MGH36_P3_F08	-0.996417797264	green3	2	2.3271	5.5707
MGH36_P3_F09	-0.591708192198	green3	2	2.5979	5.1179
MGH36_P3_F10	NA	black	0	2.2666	0
MGH36_P3_F11	0.479069505981	green3	2	3.039	2.2397
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	3.014558128	black	0	1.0314	0.95977
MGH36_P3_G02	NA	black	0	0	0
MGH36_P3_G03	NA	black	0	2.9944	0
MGH36_P3_G04	0.139647214978	green3	2	4.4455	4.5577
MGH36_P3_G05	NA	black	0	5.1675	0
MGH36_P3_G06	0.587144937843	green3	2	4.7284	5.7609
MGH36_P3_G08	NA	black	0	4.6721	0
MGH36_P3_G09	NA	black	0	1.0065	0
MGH36_P3_G10	-0.41125668623	green3	2	2.2123	4.5425
MGH36_P3_G11	NA	black	0	2.2726	0
MGH36_P3_G12	-0.210823604589	green3	2	2.8335	4.4469
MGH36_P3_H03	NA	black	0	0.91991	0
MGH36_P3_H04	-0.136273771475	green3	2	2.3838	4.1355
MGH36_P3_H05	NA	black	0	2.3179	0
MGH36_P3_H07	NA	black	0	0	0
MGH36_P3_H08	1.1463992482	green3	2	1.5484	2.5356
MGH36_P3_H11	NA	black	0	0.1635	0
MGH36_P3_H12	-1.35445179486	red	1	5.6499	2.0841
MGH36_P4_A01	-1.38203428846	red	1	0.73985	5.0032
MGH36_P4_A02	NA	black	0	2.4777	0
MGH36_P4_A03	2.13763693584	black	0	1.2887	1.6112
MGH36_P4_A04	NA	black	0	0	2.7174
MGH36_P4_A06	NA	black	0	0.76893	0
MGH36_P4_A07	NA	black	0	3.8338	0
MGH36_P4_A08	0.321764800426	green3	2	4.38	5.6108
MGH36_P4_A11	NA	black	0	3.1863	0
MGH36_P4_A12	NA	black	0	1.058	0
MGH36_P4_B02	NA	black	0	2.9616	0
MGH36_P4_B04	-0.851042771415	green3	2	4.8736	1.9264
MGH36_P4_B05	-0.00515622265227	green3	2	3.5129	3.9638
MGH36_P4_B06	NA	black	0	1.3989	0
MGH36_P4_B08	-0.197734479672	green3	2	2.7355	4.3663
MGH36_P4_B09	NA	black	0	4.244	0
MGH36_P4_B12	NA	black	0	1.1557	0
MGH36_P4_C02	3.03862359971	black	0	0.81065	1.1538
MGH36_P4_C03	NA	black	0	4.4509	0
MGH36_P4_C04	1.19580191172	green3	2	1.2296	2.6432
MGH36_P4_C05	0.225061041821	green3	2	4.563	4.7792
MGH36_P4_C06	NA	black	0	0	0
MGH36_P4_C07	NA	black	0	1.1661	0
MGH36_P4_C08	-1.59171149763	red	1	1.8176	5.8886
MGH36_P4_C10	NA	black	0	1.1243	0
MGH36_P4_C11	NA	black	0	0	0
MGH36_P4_C12	0.160350505458	green3	2	4.46	4.6342
MGH36_P4_D01	NA	black	0	3.9962	0
MGH36_P4_D02	NA	black	0	5.7246	0
MGH36_P4_D05	4.9568147992	black	0	7.9867	7.2341
MGH36_P4_D07	NA	black	0	5.1193	0
MGH36_P4_D08	NA	black	0	0	0
MGH36_P4_D09	NA	black	0	6.0617	0
MGH36_P4_D10	NA	black	0	2.067	0
MGH36_P4_D11	NA	black	0	5.0091	0
MGH36_P4_D12	NA	black	0	5.3893	0
MGH36_P4_E01	-0.232079922207	green3	2	3.2305	4.8814
