Cell_name	Zvalue	Color	Cluster	POU5F1	THY1
MGH36_P8_D03	-0.556085280557	green3	2	1.7119	3.3237
MGH36_P8_D04	0.262117117651	green3	2	0.42546	4.6713
MGH36_P8_D05	NA	black	0	0	5.5307
MGH36_P8_D07	-0.0134230878291	green3	2	0.39067	4.9142
MGH36_P8_D08	0.101827341352	green3	2	0.92752	4.7088
MGH36_P8_D09	-0.010795193243	green3	2	1.4152	4.1625
MGH36_P8_D10	NA	black	0	0	5.351
MGH36_P8_D11	-0.343998880109	green3	2	1.6271	3.5556
MGH36_P8_D12	-0.285061185415	green3	2	0.86235	5.3513
MGH36_P8_E01	0.343822187444	green3	2	0.90227	4.3031
MGH36_P8_E02	NA	black	0	0	4.8023
MGH36_P8_E03	-0.0678356184049	green3	2	1.4383	3.0925
MGH36_P8_E04	-0.49547142796	green3	2	0.54893	5.4011
MGH36_P8_E05	-0.69863650109	green3	2	1.8065	3.3846
MGH36_P8_E06	NA	black	0	0.73985	0
MGH36_P8_E08	0.181785930701	green3	2	0.6526	4.6896
MGH36_P8_E10	-2.68254896897	black	0	2.3468	2.4136
MGH36_P8_F02	0.0282101075473	green3	2	1.2738	4.6968
MGH36_P8_F04	0.150373944616	green3	2	1.3132	3.4737
MGH36_P8_F05	1.07688104614	cyan	4	0.66357	3.6488
MGH36_P8_F07	NA	black	0	0	2.3671
MGH36_P8_F09	0.569206962303	green3	2	0.89297	3.9359
MGH36_P8_G01	-0.418361643052	green3	2	0.45943	5.2842
MGH36_P8_G02	-0.0437591920321	green3	2	1.5821	4.6753
MGH36_P8_G03	0.75378210986	green3	2	0.87184	3.6778
MGH36_P8_G04	0.244690522593	green3	2	1.0745	4.2497
MGH36_P8_G05	-0.484527316514	green3	2	1.069	6.1639
MGH36_P8_G06	NA	black	0	0	3.8998
MGH36_P8_G07	0.400227366954	green3	2	2.1541	5.3278
MGH36_P8_G08	-0.462703178004	green3	2	0.93885	5.7603
MGH36_P8_G09	NA	black	0	1.4038	0
MGH36_P8_G10	2.05044971032	black	0	0.40272	3.1457
MGH36_P8_G12	0.0859294786924	green3	2	1.543	5.3936
MGH36_P8_H01	NA	black	0	0	4.1414
MGH36_P8_H03	NA	black	0	1.5627	0
MGH36_P8_H04	NA	black	0	0.52105	0
MGH36_P8_H06	NA	black	0	0	6.5198
MGH36_P8_H07	-0.756268021533	green3	2	1.8298	3.3492
MGH36_P8_H09	0.010024467039	green3	2	1.5356	4.9467
MGH36_P8_H10	1.25945154605	black	0	0.86711	2.8885
MGH36_P8_H11	-0.965164009853	red	1	0.73725	6.1554
