Cell_name	Zvalue	Color	Cluster	ATM	BRCA1
MGH54_P8_F08	0.378088136653	green3	2	0.12433	0.12829
MGH54_P8_F09	0.411026761018	green3	2	0.04684	0.13225
MGH54_P8_F10	0.32333705422	green3	2	0.18777	0.16736
MGH54_P8_F11	NA	black	0	0.079975	0
MGH54_P8_F12	0.267218046185	green3	2	0.36849	0.1177
MGH54_P8_G01	NA	black	0	0.51803	0
MGH54_P8_G03	NA	black	0	2.5142	0
MGH54_P8_G04	NA	black	0	0	0
MGH54_P8_G05	0.301449686146	green3	2	0.12433	0.23756
MGH54_P8_G06	NA	black	0	0.053806	0
MGH54_P8_G07	NA	black	0	0.47612	0
MGH54_P8_G08	0.332512351443	green3	2	0.20038	0.14405
MGH54_P8_G09	NA	black	0	0.12565	0
MGH54_P8_G10	0.403650238468	green3	2	0.096262	0.11103
MGH54_P8_G11	0.297680674188	green3	2	0.077243	0.26544
MGH54_P8_G12	NA	black	0	0.27858	0
MGH54_P8_H01	0.0214940244813	green3	2	0.10568	0.62761
MGH54_P8_H03	-1.24148862341	red	1	3.2609	0.19535
MGH54_P8_H04	NA	black	0	0	0.29748
MGH54_P8_H06	NA	black	0	3.0425	0
MGH54_P8_H07	NA	black	0	0.29514	0
MGH54_P8_H08	0.158181444246	green3	2	0.13093	0.43723
MGH54_P8_H10	NA	black	0	0.075875	0
MGH54_P8_H12	NA	black	0	0.16736	0
MGH54_P10_A01	NA	black	0	1.9902	0
MGH54_P10_A02	0.352720470681	green3	2	0.073135	0.19409
MGH54_P10_A03	NA	black	0	0.17887	0
MGH54_P10_A04	0.267246002438	green3	2	0.23511	0.22651
MGH54_P10_A05	0.154959858445	green3	2	0.49672	0.25459
MGH54_P10_A06	NA	black	0	0.26903	0
MGH54_P10_A07	NA	black	0	0	0.30918
MGH54_P10_A09	NA	black	0	1.8127	0
MGH54_P10_A10	NA	black	0	0.37072	0
MGH54_P10_A11	-0.270106579792	red	1	1.5864	0.28214
MGH54_P10_A12	0.0992488335394	green3	2	0.42008	0.44679
MGH54_P10_B01	0.0982803437981	green3	2	0.085425	0.52707
MGH54_P10_B02	NA	black	0	2.0548	0
MGH54_P10_B03	-1.14217186501	red	1	0.071763	2.0377
MGH54_P10_B05	NA	black	0	0.19283	0
MGH54_P10_B06	-0.36229657353	red	1	0.65444	1.9561
MGH54_P10_B07	NA	black	0	0.14535	0
MGH54_P10_B08	-0.0150011573635	green3	2	0.50691	0.70929
MGH54_P10_B09	NA	black	0	0.14926	0
MGH54_P10_B10	0.125800288719	green3	2	0.27977	0.44573
MGH54_P10_B11	0.170933536259	green3	2	0.44573	0.26183
MGH54_P10_B12	NA	black	0	0.11103	0
MGH54_P10_C01	NA	black	0	0.47923	0
MGH54_P10_C02	NA	black	0	1.538	0
MGH54_P10_C03	0.0598288019974	green3	2	0.76469	0.1903
MGH54_P10_C04	NA	black	0	0.29278	0
MGH54_P10_C05	NA	black	0	0.14274	0
MGH54_P10_C07	0.0184794770878	green3	2	0.54003	0.6173
MGH54_P10_C08	NA	black	0	0.1776	0
MGH54_P10_C09	-0.0805995484838	red	1	1.1577	0.35163
MGH54_P10_C10	NA	black	0	0.31962	0
MGH54_P10_C11	0.295422146781	green3	2	0.07861	0.26784
MGH54_P10_C12	NA	black	0	0.47508	0
MGH54_P10_D01	NA	black	0	0.18523	0
MGH54_P10_D02	0.0690103699814	green3	2	0.18142	0.5568
MGH54_P10_D03	NA	black	0	0.10165	0
MGH54_P10_D04	0.287319873884	green3	2	0.19283	0.22033
MGH54_P10_D05	NA	black	0	0.39067	0
MGH54_P10_D06	NA	black	0	0.12433	0
MGH54_P10_D07	-0.290705558342	red	1	1.9797	0.42761
MGH54_P10_D09	NA	black	0	1.8496	0
MGH54_P10_D10	NA	black	0	0.23266	0
MGH54_P10_D11	NA	black	0	0	0
MGH54_P10_D12	NA	black	0	0.14143	0
MGH54_P10_E01	NA	black	0	0.17887	0
MGH54_P10_E02	0.271549018441	green3	2	0.13225	0.2762
MGH54_P10_E03	-0.514069499846	red	1	0.29396	1.515
MGH54_P10_E04	0.249832888261	green3	2	0.11636	0.31383
MGH54_P10_E05	0.174571092052	green3	2	0.35276	0.32193
MGH54_P10_E06	NA	black	0	0.082703	0
MGH54_P10_E07	0.278449686958	green3	2	0.075875	0.2916
MGH54_P10_E08	NA	black	0	0.10165	0
MGH54_P10_E09	0.146878682772	green3	2	0.15704	0.44679
MGH54_P10_E10	NA	black	0	2.8881	0
MGH54_P10_E11	NA	black	0	0.15834	0
MGH54_P10_E12	-1.1183717231	red	1	3.0742	0.20163
MGH54_P10_F01	NA	black	0	0.1003	0
MGH54_P10_F02	0.237771986334	green3	2	0.10299	0.33571
