Cell_name	Zvalue	Color	Cluster	BEX2	JUN
MGH36_P3_D09	NA	black	0	0	4.9758
MGH36_P3_D11	NA	black	0	0	7.4883
MGH36_P3_E02	NA	black	0	0	5.5477
MGH36_P3_E04	NA	black	0	0	0
MGH36_P3_E05	NA	black	0	0	6.8674
MGH36_P3_E06	NA	black	0	0	0
MGH36_P3_E07	-0.668779397	red	1	3.682	7.1952
MGH36_P3_E08	NA	black	0	0	6.7991
MGH36_P3_E09	-2.39229215977	black	0	0.53705	6.5737
MGH36_P3_E10	NA	black	0	0	7.1175
MGH36_P3_E11	NA	black	0	0	6.439
MGH36_P3_E12	NA	black	0	0	5.1301
MGH36_P3_F01	NA	black	0	0	0
MGH36_P3_F02	NA	black	0	0	7.1122
MGH36_P3_F05	NA	black	0	0	4.9949
MGH36_P3_F06	NA	black	0	0	6.3753
MGH36_P3_F07	NA	black	0	0	7.8533
MGH36_P3_F08	NA	black	0	0	4.7477
MGH36_P3_F09	NA	black	0	0	8.5474
MGH36_P3_F10	NA	black	0	0	0
MGH36_P3_F11	0.00859082418811	red	1	4.1866	4.6323
MGH36_P3_F12	NA	black	0	0	4.2955
MGH36_P3_G01	NA	black	0	0	4.3525
MGH36_P3_G02	NA	black	0	0	0.2228
MGH36_P3_G03	NA	black	0	0	7.5419
MGH36_P3_G04	NA	black	0	0	6.5492
MGH36_P3_G05	NA	black	0	0	8.0071
MGH36_P3_G06	NA	black	0	0	7.2182
MGH36_P3_G08	NA	black	0	0	7.4448
MGH36_P3_G09	NA	black	0	0	6.4571
MGH36_P3_G10	NA	black	0	0	6.8372
MGH36_P3_G11	NA	black	0	0	0.10836
MGH36_P3_G12	NA	black	0	0	0
MGH36_P3_H03	NA	black	0	0	7.4925
MGH36_P3_H04	NA	black	0	0	7.3421
MGH36_P3_H05	NA	black	0	0	7.1058
MGH36_P3_H07	NA	black	0	0	9.0955
MGH36_P3_H08	NA	black	0	0	5.2975
MGH36_P3_H11	NA	black	0	0	0.30568
MGH36_P3_H12	NA	black	0	0	8.3449
