Cell_name	Zvalue	Color	Cluster	ERCC4	FOS
MGH36_P1_B12	-0.219348699682	red	1	0.02432	8.1383
MGH36_P1_C01	NA	black	0	3.1798	0
MGH36_P1_C03	-0.687865309954	red	1	0.097611	10.122
MGH36_P1_C05	-0.10650020666	red	1	0.03984	7.7281
MGH36_P1_C06	1.38919157666	green3	2	0.09356	1.6471
MGH36_P1_C07	-3.18882032712	black	0	2.389	1.1903
MGH36_P1_C08	-0.221171740305	red	1	0.20289	8.3772
MGH36_P1_C09	-0.387616213437	red	1	0.25459	9.3294
MGH36_P1_C10	1.32207079945	green3	2	2.1776	10.301
MGH36_P1_C11	1.1600707588	green3	2	2.8622	9.0622
MGH36_P1_D01	2.35516002209	black	0	3.2945	10.226
MGH36_P1_D02	-0.318151254465	red	1	0.056584	8.5529
MGH36_P1_D03	-0.236438931485	red	1	0.50487	9.4721
MGH36_P1_D04	0.792216549394	red	1	2.2951	8.9693
MGH36_P1_D06	-0.557775672512	red	1	0.20289	9.9708
MGH36_P1_D07	NA	black	0	0.73031	0
MGH36_P1_D08	-0.834276224032	red	1	0.03984	10.47
MGH36_P1_D09	4.53167095716	black	0	4.2612	11.336
MGH36_P1_D11	0.163224341797	red	1	1.4756	8.0988
MGH36_P1_F01	-0.802010183576	red	1	0.090853	10.555
MGH36_P1_F02	1.79755543616	black	0	3.3499	9.4947
MGH36_P1_F03	-0.186381622344	red	1	0.15056	8.1442
MGH36_P1_F04	-0.00635898308431	red	1	0.82701	9.4294
MGH36_P1_F05	0.240157522502	red	1	0.064883	6.387
MGH36_P1_F06	NA	black	0	0	0
MGH36_P1_F08	NA	black	0	0	4.5406
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	1.03912064951	red	1	0.014355	3.5005
MGH36_P1_G02	NA	black	0	0.19535	0
MGH36_P1_G03	-0.0266112867289	red	1	0.029983	7.4249
MGH36_P1_G04	-0.748407172673	red	1	0.10165	10.384
MGH36_P1_G07	0.548100172688	red	1	2.5163	8.3191
MGH36_P1_G08	0.418236813376	red	1	0.13881	5.5152
MGH36_P1_G09	-0.499160026118	red	1	0.02432	9.1732
MGH36_P1_H02	-1.02741587433	red	1	0.020058	11.102
MGH36_P1_H03	NA	black	0	0.02148	0
MGH36_P1_H04	-0.553027386723	red	1	0.18015	9.8577
MGH36_P1_H05	0.701599522436	red	1	0.034216	4.6828
MGH36_P1_H06	0.571178918771	red	1	0.073135	5.0651
MGH36_P1_H07	-0.777468311351	red	1	0.063503	10.346
MGH36_P1_H09	-0.273466417095	red	1	0.098958	8.4416
MGH36_P1_H10	-0.575189010019	red	1	0.027154	9.4615
MGH36_P3_A01	-0.853538734744	red	1	0.11636	10.883
MGH36_P3_A02	1.25933357964	green3	2	0.25701	0.69599
MGH36_P3_A03	0.336248133282	red	1	0.37295	5.1282
MGH36_P3_A04	-0.509483835123	red	1	0.24367	9.9084
MGH36_P3_A05	0.151309506782	red	1	0.090853	6.714
MGH36_P3_A08	-1.32665310871	red	1	3.5686	5.8865
MGH36_P3_A09	-0.0896356356243	red	1	0.1003	7.6926
MGH36_P3_A10	-0.0749795870726	red	1	0.18903	7.6753
MGH36_P3_A12	1.95878199714	black	0	3.1265	9.915
MGH36_P3_B02	0.542945367015	red	1	0.18015	4.8239
MGH36_P3_B03	NA	black	0	0.4957	0
MGH36_P3_B04	0.161034731741	red	1	3.0788	7.5582
MGH36_P3_B09	NA	black	0	0	0
MGH36_P3_B10	-0.808948230089	red	1	0.1865	11.06
MGH36_P3_B11	0.849302741086	red	1	0.29866	2.5216
MGH36_P3_B12	1.55244257024	black	0	2.6112	9.9695
MGH36_P3_C01	NA	black	0	0.26303	0
MGH36_P3_C03	0.512021471481	red	1	0.30568	4.402
MGH36_P3_C04	0.343491393527	red	1	0.059355	5.992
MGH36_P3_C05	-0.431714547823	red	1	0.27977	9.6572
MGH36_P3_C06	NA	black	0	0	0
MGH36_P3_C08	-0.258811261902	red	1	0.32539	8.8509
MGH36_P3_C11	NA	black	0	0	9.3965
