Cell_name	Zvalue	Color	Cluster	CLU	JUND
MGH36_P4_G06	-0.00056633258449	green3	2	5.99	1.5205
MGH36_P4_G08	0.441986347242	green3	2	3.8089	0.8512
MGH36_P4_G09	1.56288030575	green3	2	9.2537	2.9379
MGH36_P4_G10	0.333523660875	green3	2	9.0216	1.9756
MGH36_P4_G11	NA	black	0	5.8589	0
MGH36_P4_H01	NA	black	0	4.7854	0
MGH36_P4_H02	NA	black	0	5.3576	0
MGH36_P4_H03	1.08500345153	green3	2	8.2215	2.9786
MGH36_P4_H04	-0.00615604779129	green3	2	6.209	2.5077
MGH36_P4_H05	-0.401330184131	green3	2	6.4423	0.60027
MGH36_P4_H09	0.0271392187021	green3	2	6.2479	1.7429
MGH36_P4_H12	0.411223940484	green3	2	9.371	2.0257
MGH36_P6_A02	-0.34916552993	green3	2	6.1109	0.38405
MGH36_P6_A04	0.287375633629	green3	2	3.992	1.0257
MGH36_P6_A05	1.70240598432	black	0	8.4583	3.8143
MGH36_P6_A07	-0.399304377976	green3	2	9.9323	1.5763
MGH36_P6_A08	NA	black	0	10.585	0
MGH36_P6_A09	-1.12926226221	green3	2	8.9541	0.976
MGH36_P6_A10	-0.264553039222	green3	2	6.1093	0.56462
MGH36_P6_A11	NA	black	0	0.12565	0
MGH36_P6_B03	-1.2974137749	red	1	7.8572	0.46153
MGH36_P6_B04	-0.605488789857	green3	2	6.3564	0.19661
MGH36_P6_B05	-0.387624209745	green3	2	6.0344	0.21909
MGH36_P6_B06	-0.308987261398	green3	2	7.0076	1.08
MGH36_P6_B10	0.83994442068	green3	2	8.8547	2.4098
MGH36_P6_B11	NA	black	0	4.7806	0
