Cell_name	Zvalue	Color	Cluster	BRCA1	MDM2
MGH53_P7_E12	NA	black	0	0	0.15316
MGH53_P7_F01	0.517009679811	green3	2	0.21661	0.27858
MGH53_P7_F02	NA	black	0	0.47197	0
MGH53_P7_F04	NA	black	0	0	0.91762
MGH53_P7_F05	0.499698844456	green3	2	0.2228	0.3173
MGH53_P7_F06	NA	black	0	0	0.84398
MGH53_P7_F08	NA	black	0	0	0.13488
MGH53_P7_F09	NA	black	0	0	3.1458
MGH53_P7_F10	0.560894328324	green3	2	0.20914	0.15186
MGH53_P7_F11	NA	black	0	0	1.614
MGH53_P7_F12	NA	black	0	0	0.28096
MGH53_P7_G01	NA	black	0	0	2.6776
MGH53_P7_G03	NA	black	0	0	3.8672
MGH53_P7_G04	0.570550249781	green3	2	0.19156	0.18777
MGH53_P7_G05	NA	black	0	0	0.24489
MGH53_P7_G06	NA	black	0	0	0.88284
MGH53_P7_G07	0.424748889711	green3	2	0.12961	0.83673
MGH53_P7_G08	NA	black	0	0	0.11636
MGH53_P7_G09	NA	black	0	0	3.7473
MGH53_P7_G10	NA	black	0	0	1.952
MGH53_P7_G11	0.661883671454	red	1	0.11237	0.18142
MGH53_P7_G12	NA	black	0	0	3.1339
MGH53_P7_H01	-0.0414770939539	red	1	0.49774	2.4287
MGH53_P7_H02	NA	black	0	0	0.73118
MGH53_P7_H03	NA	black	0	0	0.37518
MGH53_P7_H04	0.35495923871	red	1	0.29278	0.62012
MGH53_P7_H05	NA	black	0	0	0.39944
MGH53_P7_H06	NA	black	0	0	2.5993
MGH53_P7_H07	NA	black	0	0	2.9298
MGH53_P7_H08	NA	black	0	0	0.077243
