Cell_name	Zvalue	Color	Cluster	IFNAR1	STAT3
MGH36_P7_G10	NA	black	0	0.75531	0
MGH36_P7_G11	NA	black	0	0	0.11503
MGH36_P7_H01	-1.35310144858	red	1	0.10702	4.3869
MGH36_P7_H02	NA	black	0	0	3.5352
MGH36_P7_H03	NA	black	0	0	3.792
MGH36_P7_H04	-1.52404501125	red	1	3.6529	0.07861
MGH36_P7_H07	-1.45514320838	red	1	0.16607	4.6281
MGH36_P7_H08	-0.164276118308	red	1	2.0158	0.27858
MGH36_P7_H10	1.2972543793	red	1	0.090853	0.20914
MGH36_P7_H11	NA	black	0	0	4.5471
MGH36_P7_H12	NA	black	0	0.46048	0
MGH36_P5_A02	NA	black	0	3.8611	0
MGH36_P5_A03	NA	black	0	0	0.56365
MGH36_P5_A05	-0.40155950618	red	1	0.55974	3.1248
