Cell_name	Zvalue	Color	Cluster	ICAM1	REL
MGH36_P1_F12	NA	black	0	0	0.035624
MGH36_P1_G02	NA	black	0	0	0.46362
MGH36_P1_G03	NA	black	0	0	0.28451
MGH36_P1_G04	-2.67806146008	black	0	4.1396	0.53903
MGH36_P1_G07	NA	black	0	0	0
MGH36_P1_G08	NA	black	0	0	0.17632
MGH36_P1_G09	0.121160288401	blue	3	0.39067	0.15963
MGH36_P1_H02	0.241612465424	blue	3	0.064883	0.31615
MGH36_P1_H03	NA	black	0	0	0
MGH36_P1_H04	-0.584572613018	black	0	1.6857	0.31846
MGH36_P1_H05	NA	black	0	0	0.22404
MGH36_P1_H06	NA	black	0	0	0.11237
MGH36_P1_H07	NA	black	0	0	3.881
MGH36_P1_H09	0.26833874593	blue	3	0.051024	0.1177
MGH36_P1_H10	NA	black	0	0	0.069015
MGH36_P3_A01	0.148597997509	blue	3	0.25701	0.63506
MGH36_P3_A02	NA	black	0	0	0.59837
MGH36_P3_A03	NA	black	0	0	0
MGH36_P3_A04	0.0641411347121	blue	3	0.53107	0.25459
MGH36_P3_A05	NA	black	0	0	1.4468
MGH36_P3_A08	NA	black	0	0	3.667
MGH36_P3_A09	NA	black	0	0	0.19787
MGH36_P3_A10	NA	black	0	0	0.48336
MGH36_P3_A12	0.245200689829	blue	3	0.04684	0.32998
MGH36_P3_B02	NA	black	0	0	0
MGH36_P3_B03	NA	black	0	0	0
MGH36_P3_B04	0.131756852107	blue	3	0.24123	0.76214
MGH36_P3_B09	-0.310627162078	black	0	1.9727	1.0813
MGH36_P3_B10	NA	black	0	0	0
MGH36_P3_B11	NA	black	0	0	0.45838
MGH36_P3_B12	NA	black	0	0	0.2857
MGH36_P3_C01	NA	black	0	0	3.9876
MGH36_P3_C03	NA	black	0	0	0
MGH36_P3_C04	0.163866334098	blue	3	0.12433	0.68796
MGH36_P3_C05	-1.24338794255	black	0	0.2762	3.3847
MGH36_P3_C06	NA	black	0	0.11636	0
