Cell_name	Zvalue	Color	Cluster	ACOX1	PPARA
MGH36_P3_E02	0.441465419939	green3	2	0.19156	0.14796
MGH36_P3_E04	0.618659804002	red	1	0.11902	0.045443
MGH36_P3_E05	-0.626447845211	red	1	4.1721	0.23634
MGH36_P3_E06	0.619582569781	red	1	0.15445	0.035624
MGH36_P3_E07	0.112103637971	red	1	1.3092	0.14405
MGH36_P3_E08	-0.120758659447	red	1	0.24245	0.53207
MGH36_P3_E09	1.20088624991	red	1	2.4805	2.1253
MGH36_P3_E10	-5.76130843734	black	0	0.12035	3.838
MGH36_P3_E11	-0.0707016476082	red	1	2.1725	0.32539
MGH36_P3_E12	0.389822970948	red	1	0.14926	0.1903
MGH36_P3_F01	0.42302335353	green3	2	0.16864	0.16479
MGH36_P3_F02	0.145842644148	red	1	1.2041	0.14143
MGH36_P3_F05	0.613487504576	red	1	0.098958	0.053806
MGH36_P3_F06	5.80769365219	black	0	3.3435	4.4082
MGH36_P3_F07	0.0582097414388	red	1	1.4823	0.14274
MGH36_P3_F08	-0.825714881449	red	1	0.25701	1.0193
MGH36_P3_F09	0.0260499667596	red	1	2.3975	0.50589
MGH36_P3_F10	0.320517518168	red	1	0.069015	0.2461
MGH36_P3_F11	-0.539151140955	red	1	3.1991	0.12565
MGH36_P3_F12	0.00729440651354	red	1	2.8685	0.48027
MGH36_P3_G01	-0.481011616331	red	1	2.9672	0.10568
MGH36_P3_G02	NA	black	0	0.1003	0
MGH36_P3_G03	-0.539302374916	red	1	3.331	0.15445
MGH36_P3_G04	0.455851073301	red	1	0.2857	0.1177
MGH36_P3_G05	0.622334568215	red	1	0.11503	0.044044
MGH36_P3_G06	0.409368041279	green3	2	3.0041	0.78827
MGH36_P3_G08	-5.02287688164	black	0	0.12168	3.4336
MGH36_P3_G09	NA	black	0	0	3.4737
MGH36_P3_G10	0.479377592041	red	1	3.2018	0.79577
MGH36_P3_G11	-0.158122443455	red	1	2.0566	0.064883
MGH36_P3_G12	0.501477085929	red	1	0.12168	0.12168
MGH36_P3_H03	0.33499398841	red	1	0.43082	0.17887
MGH36_P3_H04	-0.0977109638873	red	1	0.29278	0.51904
MGH36_P3_H05	0.140992556123	red	1	1.294	0.075875
MGH36_P3_H07	-0.465788474198	red	1	0.31383	0.7866
MGH36_P3_H08	-0.324345373033	red	1	2.6873	0.15445
MGH36_P3_H11	0.431729179273	green3	2	0.16479	0.15963
MGH36_P3_H12	0.490776235935	red	1	0.3115	0.085425
MGH36_P4_A01	0.0370265856629	red	1	1.5266	0.19912
MGH36_P4_A02	0.549863573608	red	1	0.1177	0.090853
MGH36_P4_A03	-0.0575455919337	red	1	1.3167	0.61447
MGH36_P4_A04	-1.90889834763	black	0	0.16479	1.6663
MGH36_P4_A06	0.104189848513	red	1	1.105	0.27262
MGH36_P4_A07	0.508765148927	red	1	0.12433	0.11636
MGH36_P4_A08	-0.068883471728	red	1	2.5155	0.38847
MGH36_P4_A11	-0.181700757549	red	1	3.7922	0.39726
MGH36_P4_A12	-2.76014835023	black	0	0.079975	2.1003
MGH36_P4_B02	NA	black	0	0.30568	0
MGH36_P4_B04	NA	black	0	2.9688	0
MGH36_P4_B05	0.0826421045683	red	1	0.33685	0.38736
MGH36_P4_B06	5.09409148102	black	0	4.8371	2.1509
MGH36_P4_B08	-0.675914165298	red	1	3.7515	0.15834
MGH36_P4_B09	2.0319147601	black	0	4.1618	1.3196
MGH36_P4_B12	0.0587685952469	red	1	1.4022	0.24001
MGH36_P4_C02	NA	black	0	0	0.10836
MGH36_P4_C03	0.491352581163	red	1	0.14796	0.123
MGH36_P4_C04	-1.70658238149	black	0	5.6778	0.075875
MGH36_P4_C05	0.411454447098	green3	2	0.10836	0.18269
MGH36_P4_C06	NA	black	0	0.069015	0
MGH36_P4_C07	NA	black	0	0	2.5605
MGH36_P4_C08	-0.104470036071	red	1	2.114	0.23143
MGH36_P4_C10	0.501163587678	red	1	0.32308	0.074505
MGH36_P4_C11	-0.515001752122	red	1	2.937	0.070389
MGH36_P4_C12	-0.249769200923	red	1	2.4813	0.1635
MGH36_P4_D01	0.251761402516	red	1	0.79826	0.1635
MGH36_P4_D02	NA	black	0	0	0.074505
MGH36_P4_D05	NA	black	0	0.31846	0
MGH36_P4_D07	0.566079808898	red	1	0.21909	0.055196
MGH36_P4_D08	-0.632685508198	red	1	3.3257	0.097611
MGH36_P4_D09	-0.00383749332641	red	1	1.829	0.43829
MGH36_P4_D10	13.9369587981	black	0	5.4095	4.4566
MGH36_P4_D11	0.182221160592	red	1	1.0293	0.16993
MGH36_P4_D12	NA	black	0	0	0
MGH36_P4_E01	0.0468282704024	red	1	1.5351	0.096262
MGH36_P4_E02	2.55960157712	black	0	2.8294	2.9441
MGH36_P4_E04	0.495219340986	red	1	0.26664	0.09356
MGH36_P4_E06	-0.110900354469	red	1	2.0108	0.14405
MGH36_P4_E07	0.11199461862	red	1	0.14274	0.37407
MGH36_P4_E08	0.503723875215	red	1	0.14666	0.11503
MGH36_P4_E09	0.452731144444	green3	2	0.32884	0.10969
MGH36_P4_E10	NA	black	0	0.15575	0
MGH36_P4_E11	0.420110014224	green3	2	0.27262	0.14666
MGH36_P4_E12	0.378031673425	red	1	0.53406	0.11636
MGH36_P4_F01	0.615933819937	red	1	0.11503	0.048236
MGH36_P4_F02	-0.746669284237	red	1	3.9054	0.15056
MGH36_P4_F03	0.635106706169	red	1	0.064883	0.048236
MGH36_P4_F04	-1.22907074649	red	1	4.5349	0.062122
MGH36_P4_F05	NA	black	0	0	0.26544
