Cell_name	Zvalue	Color	Cluster	HMGA1	INSR
MGH36_P6_A10	NA	black	0	0	1.0834
MGH36_P6_A11	1.39549543048	green3	2	3.4189	3.8083
MGH36_P6_B03	NA	black	0	0	1.3835
MGH36_P6_B04	0.347677471595	red	1	2.9942	2.5064
MGH36_P6_B05	-0.0694147656361	red	1	0.84398	1.6498
MGH36_P6_B06	1.33052805016	red	1	0.20038	0.62761
MGH36_P6_B10	NA	black	0	0	1.4324
MGH36_P6_B11	-0.352438133327	red	1	2.8657	0.90149
MGH36_P6_B12	-0.59622819693	red	1	3.6998	1.1789
MGH36_P6_C02	-0.325454073626	red	1	3.9906	1.5145
MGH36_P6_C03	0.37867058719	red	1	5.1698	2.0472
MGH36_P6_C04	NA	black	0	0	3.8725
MGH36_P6_C05	NA	black	0	0	1.0222
MGH36_P6_C06	NA	black	0	0	1.5341
MGH36_P6_C07	NA	black	0	0	1.5165
MGH36_P6_C08	NA	black	0	0	2.2054
MGH36_P6_C09	0.17214859431	red	1	0.42331	1.4281
MGH36_P6_C11	NA	black	0	0	2.6837
MGH36_P6_C12	-0.0796780945625	red	1	2.5702	1.3004
MGH36_P6_D01	1.64992619737	green3	2	3.6729	3.6699
MGH36_P6_D02	NA	black	0	0	1.2054
MGH36_P6_D03	NA	black	0	0	3.0321
MGH36_P6_D04	NA	black	0	0	2.102
MGH36_P6_D05	NA	black	0	0	0
MGH36_P6_D06	NA	black	0	3.4155	0
MGH36_P6_D07	NA	black	0	0	0.23511
MGH36_P6_D08	NA	black	0	0	1.893
MGH36_P6_D10	NA	black	0	0	1.4478
MGH36_P6_D11	NA	black	0	0	0
MGH36_P6_E02	NA	black	0	0	2.3274
MGH36_P6_E03	NA	black	0	0	1.926
MGH36_P6_E04	NA	black	0	0	0.66175
MGH36_P6_E05	NA	black	0	3.4432	0
MGH36_P6_E06	NA	black	0	0	1.3962
MGH36_P6_E07	-0.135928716522	red	1	3.7212	1.6323
MGH36_P6_E08	NA	black	0	0	2.0108
MGH36_P6_E09	NA	black	0	0	0
MGH36_P6_E10	0.331709930136	red	1	3.6899	2.1107
MGH36_P6_E11	NA	black	0	0	0
MGH36_P6_E12	NA	black	0	0	0.41143
MGH36_P6_F01	NA	black	0	0	0
MGH36_P6_F04	2.10007644505	black	0	3.8771	3.8766
MGH36_P6_F06	NA	black	0	0	0
MGH36_P6_F07	-0.207434296552	red	1	3.189	1.4087
MGH36_P6_F08	NA	black	0	0	0
MGH36_P6_F10	NA	black	0	0	1.9723
