Cell_name	Zvalue	Color	Cluster	PPARD	SOD1
MGH36_P1_B07	-0.463428711123	red	1	0.16221	6.4736
MGH36_P1_B08	NA	black	0	0	5.8686
MGH36_P1_B09	-0.875364172647	red	1	2.4314	4.1516
MGH36_P1_B10	0.351014932903	red	1	0.10165	5.2909
MGH36_P1_B11	0.846667333863	red	1	4.0245	6.3789
MGH36_P1_B12	-1.08775903393	red	1	4.5686	5.1247
MGH36_P1_C01	NA	black	0	0	3.2572
MGH36_P1_C03	1.08296074141	green3	2	4.1183	6.5208
MGH36_P1_C05	0.261211283547	red	1	0.19156	5.3903
MGH36_P1_C06	-0.245084122916	red	1	3.4688	5.5509
MGH36_P1_C07	0.322695078723	red	1	0.19409	5.2963
MGH36_P1_C08	-1.26470895193	red	1	2.6944	3.9135
MGH36_P1_C09	0.759302704877	red	1	3.5842	6.4283
MGH36_P1_C10	1.5041738065	black	0	3.9736	6.8709
MGH36_P1_C11	-0.247641196871	red	1	0.075875	6.1298
MGH36_P1_D01	-0.310067083663	red	1	0.0057593	6.1954
MGH36_P1_D02	-0.515445486836	red	1	0.19535	6.5716
MGH36_P1_D03	0.173482294922	red	1	0.21537	5.5178
MGH36_P1_D04	-0.124381585249	red	1	2.7504	5.6022
MGH36_P1_D06	0.769230589521	red	1	3.7738	6.3829
MGH36_P1_D07	-0.180925225144	red	1	0.17632	6.0571
MGH36_P1_D08	0.228676679226	red	1	1.9664	6.5585
MGH36_P1_D09	-0.466997436279	red	1	4.6672	5.5014
MGH36_P1_D11	NA	black	0	0	4.8815
MGH36_P1_F01	NA	black	0	0	5.0773
MGH36_P1_F02	0.436120675616	red	1	0.53903	4.8665
MGH36_P1_F03	0.0298797459325	red	1	0.10702	5.7438
MGH36_P1_F04	-0.087465224983	red	1	0.15963	5.9153
MGH36_P1_F05	1.05882929251	red	1	4.9412	6.3306
MGH36_P1_F06	NA	black	0	0	5.5965
MGH36_P1_F08	NA	black	0	0	6.0408
MGH36_P1_F11	NA	black	0	3.116	0
MGH36_P1_F12	NA	black	0	0	6.4737
MGH36_P1_G02	NA	black	0	0	6.1582
MGH36_P1_G03	NA	black	0	0	6.6829
MGH36_P1_G04	0.0504391952801	red	1	1.0614	5.5224
MGH36_P1_G07	-0.810278105203	red	1	3.9556	5.1754
MGH36_P1_G08	0.196463672967	red	1	0.15056	5.498
MGH36_P1_G09	-0.763473643984	red	1	3.825	5.1798
MGH36_P1_H02	1.65263243756	black	0	3.6092	7.1804
MGH36_P1_H03	0.363792425968	red	1	2.0621	6.8325
MGH36_P1_H04	-2.39527581676	black	0	3.2233	3.2813
MGH36_P1_H05	0.46170429452	red	1	0.20914	5.0771
MGH36_P1_H06	0.181698157225	red	1	0.42116	5.4468
MGH36_P1_H07	-0.0365342669981	red	1	0.16479	5.8402
MGH36_P1_H09	-0.0785904845985	red	1	3.7563	5.7105
MGH36_P1_H10	-0.408918096097	red	1	0.20163	6.4121
MGH36_P3_A01	-0.907890372328	red	1	0.40054	7.4534
MGH36_P3_A02	NA	black	0	0	7.3481
MGH36_P3_A03	NA	black	0	0	6.6069
MGH36_P3_A04	NA	black	0	0	4.3022
MGH36_P3_A05	NA	black	0	0	5.8967
MGH36_P3_A08	2.09862092959	black	0	3.2617	7.895
MGH36_P3_A09	NA	black	0	0	7.2441
MGH36_P3_A10	0.0384948187259	red	1	0.95754	5.6287
MGH36_P3_A12	-0.0373649991654	red	1	0.56462	5.8659
MGH36_P3_B02	-1.35474251552	red	1	4.5204	4.9537
MGH36_P3_B03	-0.192336151987	red	1	0.10434	6.0587
MGH36_P3_B04	-1.02905530108	red	1	0.73205	8.6101
MGH36_P3_B09	NA	black	0	0	6.4116
MGH36_P3_B10	NA	black	0	0	4.6769
MGH36_P3_B11	-0.865930628713	red	1	0.29514	7.2259
MGH36_P3_B12	NA	black	0	0	3.9236
MGH36_P3_C01	-0.839119948666	red	1	0.54696	7.5874
MGH36_P3_C03	-0.776874639649	red	1	0.4916	7.3523
MGH36_P3_C04	-0.781548755848	red	1	0.29866	7.089
MGH36_P3_C05	NA	black	0	0	6.4706
MGH36_P3_C06	0.0330503639526	red	1	0.76469	5.6901
MGH36_P3_C08	-1.00300461253	red	1	0.59646	8.0749
MGH36_P3_C11	NA	black	0	0	7.0218
MGH36_P3_C12	-0.779489819508	red	1	2.1385	3.7297
MGH36_P3_D01	-1.38802965451	black	0	0.33342	8.1843
MGH36_P3_D02	-0.265328428623	red	1	0.68975	6.4624
MGH36_P3_D03	-1.03127476508	red	1	0.5888	8.1181
MGH36_P3_D04	-0.602909362916	red	1	0.26424	6.7601
MGH36_P3_D07	2.47266690581	black	0	4.8659	7.1083
MGH36_P3_D08	-0.521546370998	red	1	0.36065	6.7049
MGH36_P3_D09	NA	black	0	0	7.581
MGH36_P3_D11	NA	black	0	0	6.2206
MGH36_P3_E02	1.36087706174	black	0	3.6721	6.9
MGH36_P3_E04	-0.283820825115	red	1	0.38847	6.2984
MGH36_P3_E05	NA	black	0	0	6.9605
MGH36_P3_E06	-0.510824716429	red	1	0.49365	6.8155
MGH36_P3_E07	NA	black	0	0	7.0761
MGH36_P3_E08	NA	black	0	0	5.892
MGH36_P3_E09	-0.135595197087	red	1	0.43829	6.0424
MGH36_P3_E10	NA	black	0	0.40272	0
